match_id,player_id,card_team1,schedule_team1,card_score,schedule_score,owner_side_in_schedule,card_label,schedule_winner,same_order,owner_first_on_card,label_agrees
4b418f10-59cf-442e-b2ca-856b33d83cba,0179cc16-9672-4799-952f-5170933feabc,Rudresh Shetye / Venctexa Burye,Arnav Sanjeev / Sahil Kaushal,1-8,8-1,2.0,Loss,1.0,False,True,True
3ab9f696-daff-4f10-b023-04c8140cd69f,0179cc16-9672-4799-952f-5170933feabc,Rudresh Shetye / Venctexa Burye,Shelton Mathew / Vishnu Shetty,1-8,8-1,2.0,Loss,1.0,False,True,True
750576ef-3eae-4823-91b6-cba2b45a1078,0179cc16-9672-4799-952f-5170933feabc,Rudresh Shetye / Venctexa Burye,Joshua Lobo / Joshua Lobo Partner,8-1,1-8,2.0,Win,2.0,False,True,True
1c94b7fc-d8fb-4192-924a-7a889150984d,0346bf27-30fb-409c-8bd4-bdbb1f7119cd,Vansh Bhagtani / Yash Nagdev,Arnav Tanna / Qahhar Padamsee,8-4,4-8,2.0,Win,2.0,False,True,True
a4079a0d-e715-46c7-90bf-b2a5ced67308,0346bf27-30fb-409c-8bd4-bdbb1f7119cd,Vansh Bhagtani / Yash Nagdev,Ankit Bhalwankar / Rajesh Shing,8-2,2-8,2.0,Win,2.0,False,True,True
0b0f0ff8-9304-459a-998d-5c0ce28e2227,0346bf27-30fb-409c-8bd4-bdbb1f7119cd,Vansh Bhagtani / Yash Nagdev,Vansh Bhagtani / Yash Nagdev,8-9,8-9,1.0,Loss,2.0,True,True,True
e9e00272-de4a-4285-817f-9f1219455e26,03c0ac66-cca8-403b-956f-08fe4c08cebe,Pranay Merchant / Piyush Bansal,Saish Shelar / Mihir Akolkar,2-8,8-2,2.0,Loss,1.0,False,True,True
80f4de2a-aab9-45f2-a8c6-a26c37367454,03c0ac66-cca8-403b-956f-08fe4c08cebe,Pranay Merchant / Piyush Bansal,Jasmer Kapany / Paramveer Bajwa,6-8,8-6,2.0,Loss,1.0,False,True,True
8fee54f0-cb79-4e44-b290-76234ee52b73,03c0ac66-cca8-403b-956f-08fe4c08cebe,Pranay Merchant / Piyush Bansal,Pranay Merchant / Piyush Bansal,8-7,8-7,1.0,Win,1.0,True,True,True
16f039f2-99dc-4a87-9f5a-16a15cc3850f,042630ef-be7b-401e-9a56-2bdbd27b005b,Anshul Gosavi / Ronak Talati,Anshul Gosavi / Ronak Talati,1-8,1-8,1.0,Loss,2.0,True,True,True
c61e7e51-74f2-4cd7-b2ff-ca098491f1f8,042630ef-be7b-401e-9a56-2bdbd27b005b,Anshul Gosavi / Ronak Talati,Anshul Gosavi / Ronak Talati,1-8,1-8,1.0,Loss,2.0,True,True,True
39dc5c91-0e03-452c-b287-aab5d44db646,062f6e2d-dd0e-47b8-a338-386ae1e7ddc2,Vishal Thomas / Terence Thomas,Shaan Shah / Sandip Sabharwal,2-8,8-2,2.0,Loss,1.0,False,True,True
99234a0e-d119-48ca-b8ce-baef8ac9e992,062f6e2d-dd0e-47b8-a338-386ae1e7ddc2,Vishal Thomas / Terence Thomas,Vishal Thomas / Terence Thomas,8-1,8-1,1.0,Win,1.0,True,True,True
46bb7719-eca4-43d3-8f5a-37b123df3eba,062f6e2d-dd0e-47b8-a338-386ae1e7ddc2,Vishal Thomas / Terence Thomas,Vishal Thomas / Terence Thomas,8-1,8-1,1.0,Win,1.0,True,True,True
3c072869-7aae-4ffb-b978-daa51d12f024,062f6e2d-dd0e-47b8-a338-386ae1e7ddc2,Vishal Thomas / Terence Thomas,Arvind Sriram / Ananth Menon,1-9,9-1,2.0,Loss,1.0,False,True,True
c30b70ec-7972-4541-803f-fa3ae0c7475c,06a4aeef-aaca-45ef-a83a-cb3c703c9789,Saish Shelar / Mihir Akolkar,Jasmer Kapany / Paramveer Bajwa,4-8,8-4,2.0,Loss,1.0,False,True,True
c9a9044a-141c-4ba4-be58-2f7158951ada,06a4aeef-aaca-45ef-a83a-cb3c703c9789,Saish Shelar / Mihir Akolkar,Aditya Jagtap / Krishiv Patel,2-9,9-2,2.0,Loss,1.0,False,True,True
6836bcb0-1981-484e-a454-737d8e1eb2ee,06a4aeef-aaca-45ef-a83a-cb3c703c9789,Saish Shelar / Mihir Akolkar,Saish Shelar / Mihir Akolkar,8-2,8-2,1.0,Win,1.0,True,True,True
62ceca22-1bf3-426b-a71c-059df89fe896,06a4aeef-aaca-45ef-a83a-cb3c703c9789,Saish Shelar / Mihir Akolkar,Saish Shelar / Mihir Akolkar,8-6,8-6,1.0,Win,1.0,True,True,True
ef27919c-2820-4044-a083-2a04a52ad48c,06a4aeef-aaca-45ef-a83a-cb3c703c9789,Saish Shelar / Mihir Akolkar,Samar Malhotra / Aryan Goveas,2-8,8-2,2.0,Loss,1.0,False,True,True
