division_id,tournament_slug,event,division,gender,level,team_count,status,format,match_format,qualify_per_group,matches_listed
b02a8c16-f65d-4815-965a-edc5f6666a0d,ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,24,Upcoming,Groups + Knockout,Group matches: race to 8 games · Knockout: best of 3 sets.,2,51
2c1884cb-e421-4a43-894b-8a17e3d46e0d,ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Intermediate,Men's,intermediate,31,Upcoming,Groups + Knockout,Group matches: race to 8 games · Knockout: race to 8 games.,2,60
491db331-5e32-4501-ac08-7ef4549c1577,ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Advance,Men's,advance,16,Upcoming,Groups + Knockout,Group matches: race to 8 games · Knockout: race to 8 games.,2,31
9f48a253-ea43-49fa-9a51-9d93fe7894e5,ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's 40+,Men's 40+,open,8,Upcoming,Groups + Knockout,Group matches: race to 8 games · Knockout: race to 8 games.,2,15
dab3efa0-30cb-4e51-b596-2a7688a8824d,ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Women's Beginner,Women's,beginner,9,Upcoming,Groups + Knockout,Group matches: race to 8 games · Knockout: race to 8 games.,2,19
383a2587-7b75-45b8-b562-82782078ae3c,ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Women's Intermediate,Women's,intermediate,3,Upcoming,Combined Round Robin + Split Bracket,Group matches: race to 8 games · Knockout: best of 3 sets.,2,15
219d868c-e794-4eea-8e08-9c844e9655b0,ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Women's Advance,Women's,advance,3,Upcoming,Combined Round Robin + Split Bracket,Group matches: race to 8 games · Knockout: best of 3 sets.,2,17
695b0746-b4ff-4123-8162-e6f14b3c16c9,ipt-goa-grandslam-11-0,Grand Slam 11.0 Goa Edition,Men's Beginner,Men's,beginner,16,Completed,Groups + Knockout,Group matches: race to 8 games · Knockout: race to 8 games.,2,31
8f9c3ee6-d54b-4ad7-8104-24a0dfb32bc4,ipt-goa-grandslam-11-0,Grand Slam 11.0 Goa Edition,Men's Intermediate,Men's,intermediate,24,Completed,Groups + Knockout,Group matches: race to 8 games · Knockout: race to 8 games.,2,51
67e84996-8941-496f-b358-fc61f5cc37c6,ipt-goa-grandslam-11-0,Grand Slam 11.0 Goa Edition,Men's Advance,Men's,advance,16,Completed,Groups + Knockout,Group matches: race to 8 games · Knockout: race to 8 games.,2,31
