tournament_slug,division,group,position,team,played,wins,losses,games_for,games_against,difference,bonus_points,points,qualification
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP A,1,Gautam Kaushal / Suvir Singh,3,3,0,24,5,19,1,7,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP A,2,Sandeep Dhand / Adesh Pratap Singh,3,2,1,20,10,10,1,5,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP A,3,Sidhannt Kalucha / Lokesh Dudeja,3,1,2,11,16,-5,1,3,best_third_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP A,4,Rajbir S Randhawa / Aaronbir S Randhawa,3,0,3,0,24,-24,0,0,eliminated
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP B,1,Ajitesh Kaushal / Vidur Ahuja,3,3,0,24,7,17,0,6,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP B,2,Shray Mehta / Atin Gupta,3,2,1,20,15,5,0,4,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP B,3,Mohit Sharma / Dhruv Malhotra,3,1,2,16,21,-5,0,2,eliminated
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP B,4,Sahil Dhingra / Udit Khaitan,3,0,3,7,24,-17,0,0,eliminated
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP C,1,Ankit Dhawan / Guru Singh,3,3,0,24,5,19,1,7,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP C,2,Ramnish Pal / Abhit Jhanji,3,2,1,20,18,2,0,4,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP C,3,Sandip Sabharwal / Shampy Mittal,3,1,2,15,19,-4,0,2,best_third_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP C,4,Nakul Mishra / Aditya Mehra,3,0,3,7,24,-17,0,0,eliminated
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP D,1,Arshdeep Singh / Sanam Singh,3,3,0,24,3,21,0,6,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP D,2,Hitesh Panwar / Shivam Garg,3,2,1,17,12,5,0,4,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP D,3,Surya Jain / Abhishek Slathia,3,1,2,12,17,-5,0,2,eliminated
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP D,4,Manav Jain / Thashakkriv Neelash,3,0,3,3,24,-21,0,0,eliminated
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP E,1,Satyam Pathak / Divyam Jain,3,3,0,24,5,19,0,6,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP E,2,Aarman Kler / Sahiljit Singh Sandhu,3,2,1,19,11,8,0,4,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP E,3,Saksham Dogra / Yuvraj Khullar,3,1,2,11,16,-5,1,3,best_third_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP E,4,Sahil Mahajan / Anuj Aggarwal,3,0,3,2,24,-22,0,0,eliminated
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP F,1,Yash Khajanchi / Abhiraj Singh,3,3,0,24,12,12,0,6,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP F,2,Rajat Garg / Nitesh Bharti,3,2,1,23,14,9,0,4,automatic_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP F,3,Vivek Sharma / Rahul Gupta,3,1,2,16,19,-3,0,2,best_third_qualifier
ipt-chandigarh-city-open-2-0,Men's Beginner,GROUP F,4,Nikhil Doda / Jason P Sharma,3,0,3,6,24,-18,0,0,eliminated
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP A,1,Manav Malhotra / Varun Dattani,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP A,2,Raghav Garg / Sachit Nayyar,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP A,3,Rohail Pandohi / Ayush Gupta,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP B,1,Pruthvi Patel / Harshil Sheth,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP B,2,Tanveer Singh / Rahil Mahajan,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP B,3,Sagar Ahuja / Nivesh Poddar,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP B,4,Vishav Bansal / Ajay Dhiman,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP C,1,Shanu Hazra / Parth Thakkar,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP C,2,Simar Chadha / Ikrab Ghai,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP C,3,Sahil Bakshi / Shivang Mahajan,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP C,4,Love Pahal / Aarav Chawla,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP D,1,Karan Tandon / Sahil Parikh,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP D,2,Sahil Kapoor / Yuvraj Singh Arora,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP D,3,Yashvardhan Sarda / Shreyas Dogial,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP D,4,Manan Gupta / Armaan Garg,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP E,1,Madhav Bajaj / Divanshu Nayyar,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP E,2,Akshay Dhawan / Animesh Gupta,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP E,3,Vaibhav Sahni / Ishaan Chandhok,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP E,4,Aayush Poddar / Anurag Agarwal,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP F,1,Mehul Bansal / Lakshay Bharti,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP F,2,Rishabh Gupta / Rijul Jain,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP F,3,Arjun Dhanda / Akhil Bansal,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP F,4,Rajkanwar Bhangoo / Harneet Singh,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP G,1,Anav Shrish / Viraj Bhargava,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP G,2,Ramit Bhargava / Manjot Singh Ahuja,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP G,3,Udhay Mahajan / Hari Singh,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP G,4,Anirudh Kaushal / Sartaj Singh Sudan,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP H,1,Nikhil Bansal / Jansher Waraich,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP H,2,Ankush Puri / Sehaj Sehgal,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP H,3,Vansh Bhagtani / Yash Nagdev,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Intermediate,GROUP H,4,Japnaam Singh / Meet Ohlyan,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Advance,GROUP A,1,Aditya Jagtap / Rahul Motwani,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Advance,GROUP A,2,Ankit Grover / Gaurav Gupta,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Advance,GROUP A,3,Jasmer Kapany / Rohan Jain,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Advance,GROUP A,4,Raaghav Sharma Bagga / Atul Sharma,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Advance,GROUP B,1,Samar Malhotra / Paramveer Singh Bajwa,0,0,0,0,0,0,0,0,pending
ipt-chandigarh-city-open-2-0,Men's Advance,GROUP B,2,Ishaan Mehta / Chiraz Singh,0,0,0,0,0,0,0,0,pending
