event,tournament_slug,awarded_on,event_type,player_rows,matches_available,match_source
City Open Kochi 2.0,ipt-kochi-city-open-2-0,2026-09-13,city_open,126,113,tournament page
Goa Grandslam 11.0,ipt-goa-grandslam-11-0,2026-08-16,grand_slam,164,182,tournament page
Mumbai City Open 5.0,mumbai-city-open-5-01,2026-08-02,city_open,188,147,tournament page
INDIAN PADEL TOUR 10.0,,2026-04-26,grand_slam,72,0,none on site
BENGALURU CITY OPEN 2.0,,2026-04-12,city_open,8,0,none on site
BANGALORE CITY OPEN 2.0,,2026-04-12,city_open,40,0,none on site
INDIAN PADEL TOUR WOMEN'S ONLY,,2026-03-29,city_open,40,0,none on site
AHMEDABAD CITY OPEN,,2026-03-15,city_open,32,0,none on site
INDIAN PADEL TOUR 9.0,,2026-02-15,grand_slam,110,0,none on site
GOA CITY OPEN 1.0,,2026-01-25,city_open,42,0,none on site
MUMBAI CITY OPEN 4.0,,2026-01-11,city_open,96,0,none on site
INDIAN PADEL TOUR 8.0,,2025-11-30,grand_slam,108,0,none on site
CHANDIGARH CITY OPEN,,2025-11-16,city_open,24,0,none on site
MUMBAI CITY OPEN 3.0,,2025-09-28,city_open,76,0,none on site
KOCHI CITY OPEN,,2025-09-14,city_open,24,0,none on site
INDIAN PADEL TOUR 7.0,,2025-08-03,grand_slam,72,0,none on site
BENGALURU CITY OPEN 1.0,,2025-06-29,city_open,32,0,none on site
MUMBAI CITY OPEN 2.0,,2025-06-15,city_open,40,0,none on site
INDIAN PADEL TOUR 6.0,,2025-03-23,grand_slam,72,0,none on site
MUMBAI CITY OPEN 1.0,,2025-03-02,city_open,40,0,none on site
INDIAN PADEL TOUR 5.0,,2025-02-01,grand_slam,72,0,none on site
INDIAN PADEL TOUR 3.0,,2024-12-01,grand_slam,72,0,none on site
