category,rank,rank_overall,player_id,user_uuid,name,points,points_overall,move,events,gender,window_start,url
Men's,1,1,9db40aca-2be2-4bdd-b807-02ad8bb8bf77,9db40aca-2be2-4bdd-b807-02ad8bb8bf77,Aditya Jagtap,4168,4888,0.0,16,male,2025-07-01,https://indianpadeltour.in/players/9db40aca-2be2-4bdd-b807-02ad8bb8bf77
Men's,2,2,a57ef4ab-a62e-4b71-a4d2-0f267dea2626,a57ef4ab-a62e-4b71-a4d2-0f267dea2626,Samar Malhotra,3660,3720,0.0,13,male,2025-07-01,https://indianpadeltour.in/players/a57ef4ab-a62e-4b71-a4d2-0f267dea2626
Men's,3,7,5b3d8985-ba2b-4840-96cb-df23c6bd1347,5b3d8985-ba2b-4840-96cb-df23c6bd1347,Krishiv Patel,2460,2820,1.0,10,male,2025-07-01,https://indianpadeltour.in/players/5b3d8985-ba2b-4840-96cb-df23c6bd1347
Men's,4,4,5854e023-8f2c-4811-82ed-0e54efaf63ec,5854e023-8f2c-4811-82ed-0e54efaf63ec,Rahul Motwani,2430,3090,-1.0,13,male,2025-07-01,https://indianpadeltour.in/players/5854e023-8f2c-4811-82ed-0e54efaf63ec
Men's,5,5,46d8e856-a32f-4060-bf62-6b24fb9e6a8d,46d8e856-a32f-4060-bf62-6b24fb9e6a8d,Aryan Goveas,2354,3014,0.0,12,male,2025-07-01,https://indianpadeltour.in/players/46d8e856-a32f-4060-bf62-6b24fb9e6a8d
Men's,6,8,531b4b75-e3cf-439f-a0fb-5e83867deff8,531b4b75-e3cf-439f-a0fb-5e83867deff8,Aryan Hemdev,1868,2588,0.0,9,male,2025-07-01,https://indianpadeltour.in/players/531b4b75-e3cf-439f-a0fb-5e83867deff8
Men's,7,3,5efe3810-7452-45ba-9911-ef58eb490a3f,5efe3810-7452-45ba-9911-ef58eb490a3f,Chaitanya Shah,1468,3268,0.0,10,male,2025-07-01,https://indianpadeltour.in/players/5efe3810-7452-45ba-9911-ef58eb490a3f
Men's,8,13,29e75609-025c-485b-a40a-969d2ce6e6bc,29e75609-025c-485b-a40a-969d2ce6e6bc,Paramveer Singh Bajwa,1276,1276,0.0,4,male,2025-07-01,https://indianpadeltour.in/players/29e75609-025c-485b-a40a-969d2ce6e6bc
Men's,9,12,e9aef618-db1c-42e9-a0ed-c3050a376e4f,e9aef618-db1c-42e9-a0ed-c3050a376e4f,Manav Sreekumar,1220,1340,0.0,8,male,2025-07-01,https://indianpadeltour.in/players/e9aef618-db1c-42e9-a0ed-c3050a376e4f
Men's,10,6,ranked-vikram-shah,,Vikram Shah,1160,2960,0.0,7,male,2025-07-01,https://indianpadeltour.in/players/ranked-vikram-shah
