tournament_slug,event,division,gender,level,seed,team,player1_id,player1,player2_id,player2,player1_entry_id,player2_entry_id,player1_points,player2_points,team_points,entry_rank,entry_status
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,1,Aarman Kler / Sahiljit Singh Sandhu,821bda69-7b49-49ce-96f9-425f549eab3f,Aarman Kler,bf97a38c-8dcb-49f5-bc65-868269f3e794,Sahiljit Singh Sandhu,47d3874c-3e00-4ce9-87b7-6a8f766fb8c3,f2c888bf-6e0d-4022-8748-a0e569d50fe3,9,0,9,#1,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,2,Ajitesh Kaushal / Vidur Ahuja,e43d9595-fbd4-4780-9231-ed4008b17954,Ajitesh Kaushal,a86800c6-94f5-406c-88ba-e0d160802682,Vidur Ahuja,edfa5709-0deb-46a5-a436-f722388955b3,76e88ddc-c031-4336-99c7-6744a2a0b0ff,0,0,0,#2,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,3,Ankit Dhawan / Guru Singh,a0341a31-6531-4201-a45d-17c8b83f5e67,Ankit Dhawan,241b08be-61b7-4ee7-8896-47712afa18ec,Guru Singh,badd6c02-1544-4111-9e2a-305e883be69b,3175a349-44d9-4bf3-8a56-abdfef8c94ea,0,0,0,#3,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,4,Arshdeep Singh / Sanam Singh,66bff00b-4dc1-41cf-8272-181a097da993,Arshdeep Singh,ace8a480-2886-4164-bf99-1f637de77a8c,Sanam Singh,a624bfaf-09ae-4505-b698-c66b1f803513,08cc3d57-040d-4b93-af30-2463e7e7fca3,0,0,0,#4,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,5,Gautam Kaushal / Suvir Singh,4abc41a6-8e24-4eaa-a669-eadf2b1b7365,Gautam Kaushal,98307ab5-02a0-409d-b320-7c77b38a3c53,Suvir Singh,f2971a9d-534e-4e53-b557-6bd1a60f2549,4773ba9b-12a9-417b-8120-651fd5dbcd74,27,18,45,#5,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,6,Hitesh Panwar / Shivam Garg,183d8cac-b9b1-4a60-b84a-affc7ce9bd02,Hitesh Panwar,d5fd4570-f27d-42a4-a49f-df51d89e415f,Shivam Garg,15a3cafb-f4ad-4e77-9bf1-fad53ca40655,7d458823-f6d6-418e-a2dc-72e332607b36,0,0,0,#6,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,7,Manav Jain / Thashakkriv Neelash,975f7879-28fb-4394-b703-b224787487bf,Manav Jain,264539a0-5e51-401c-a37f-ce592217e6c9,Thashakkriv Neelash,0ca47591-de78-46bc-b7c1-35c2578a08fc,af3fd1d3-31dd-4412-9cd8-65599ee07e47,18,0,18,#7,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,8,Mohit Sharma / Dhruv Malhotra,bedbb146-12a1-4080-9c30-086119a96eca,Mohit Sharma,daa131b4-ca8e-455c-adf2-477b1b9c85d6,Dhruv Malhotra,bce1b3dc-9b7a-47e6-b694-bad13ddb21ce,1527b6cf-20c9-41a0-9cb4-fe254a9517d3,0,0,0,#8,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,9,Nakul Mishra / Aditya Mehra,325a7ffb-1dab-44ee-9f53-b5b15eb0cdc0,Nakul Mishra,bb6a94c2-9ba4-4cde-8999-69dcdb6b340d,Aditya Mehra,91d8efaf-b8e8-44f3-b7be-c14371ee7733,85f757b7-2326-401c-b0ec-450496e9bea3,0,0,0,#9,Confirmed
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,Men's Beginner,Men's,beginner,10,Nikhil Doda / Jason P Sharma,18c48f80-ed09-42d6-ba8f-ea7081dfc9cd,Nikhil Doda,74545b96-4998-41f7-86e0-a4083fbb248f,Jason P Sharma,458a0506-5591-4aaf-8907-abf9e92f88a8,20762a93-4384-44de-aec4-46e93d437dd9,0,0,0,#10,Confirmed
