slug,name,type,status,start_date,end_date,dates,city,venue,prize_inr,format,courts,balls,turf,source_event_id,divisions,in_listing,in_api,url
ipt-ahmedabad-city-open-2-0,City Open Ahmedabad 2.0,City Open,Coming Soon,2027-03-05,2027-03-07,05 Mar - 07 Mar,"Ahmedabad, IND",Venue TBA,200000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,0d9748ac-94b1-4870-8268-c86edbd28585,0,False,True,https://indianpadeltour.in/tournaments/ipt-ahmedabad-city-open-2-0
ipt-bangalore-city-open-3-0,City Open Bengaluru  3.0,City Open,Coming Soon,2027-01-22,2027-01-24,22 Jan - 24 Jan,"Bengaluru, IND",Venue TBA,200000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,1b65b0ea-af18-42c6-ac62-728e4b95cf9f,0,False,True,https://indianpadeltour.in/tournaments/ipt-bangalore-city-open-3-0
ipt-bengaluru-grandslam-15-0,Grand Slam 15.0 Bengaluru Edition,Grand Slam,Announced,2027-06-05,2027-06-07,05 Jun - 07 Jun,"Bengaluru, IND",Venue TBA,600000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,a4a0b63e-a414-4218-b6ec-7f6dfdce235c,0,False,True,https://indianpadeltour.in/tournaments/ipt-bengaluru-grandslam-15-0
ipt-chandigarh-city-open-2-0,City Open Chandigarh 2.0,City Open,Fixtures Out,2026-09-24,2026-09-27,24 Sept - 27 Sept,"Chandigarh, IND",Clubb Canopy,200000,Groups + Knockout,3,Bullpadel Next,Real Turf,67d65ed0-9f7c-49a3-8646-486e7d769461,7,True,True,https://indianpadeltour.in/tournaments/ipt-chandigarh-city-open-2-0
ipt-chandigarh-grandslam-14-0,Grand Slam 14.0 Chandigarh Edition,Grand Slam,Coming Soon,2027-03-19,2027-03-21,19 Mar - 21 Mar,"Chandigarh, IND",Venue TBA,600000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,90015545-6538-4280-b8cd-bdd063fb1879,0,False,True,https://indianpadeltour.in/tournaments/ipt-chandigarh-grandslam-14-0
ipt-chennai-city-open-1-0,City Open Chennai,City Open,Announced,2027-05-07,2027-05-09,07 May - 09 May,"Chennai, IND",Venue TBA,200000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,5f7be5b0-c911-4872-aa78-931c33790ef2,0,False,True,https://indianpadeltour.in/tournaments/ipt-chennai-city-open-1-0
ipt-goa-grandslam-11-0,Grand Slam 11.0 Goa Edition,Grand Slam,Completed,2026-08-13,2026-08-16,13 Aug - 16 Aug,"Sodiem Siolim, IND",Sunday Racquet & Social Club,600000,Groups + Knockout,3,Bullpadel Next,Mondo,0fd77c63-8a88-411a-b8eb-33e87ec29e05,8,True,True,https://indianpadeltour.in/tournaments/ipt-goa-grandslam-11-0
ipt-hyderabad-city-grandslam-12-0,Grand Slam 12.0 Hyderabad Edition,Grand Slam,Registrations Open,2026-10-23,2026-10-25,23 Oct - 25 Oct,"Hyderabad, IND",7Padel | Jubilee Hills,600000,Groups + Knockout,3,Bullpadel Next,TBA,7c8dcf0f-51fa-47ba-9ef5-50a6db25528d,5,True,True,https://indianpadeltour.in/tournaments/ipt-hyderabad-city-grandslam-12-0
ipt-hyderabad-city-open-1-0,City Open Hyderabad,City Open,Coming Soon,2027-04-23,2027-04-25,23 Apr - 25 Apr,"Hyderabad, IND",Venue TBA,200000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,b461522a-e056-4349-bb47-b998728532f0,0,False,True,https://indianpadeltour.in/tournaments/ipt-hyderabad-city-open-1-0
ipt-indore-city-open-1-0,City Open Indore,City Open,Announced,2027-05-21,2027-05-23,21 May - 23 May,"Indore, IND",Venue TBA,200000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,12a752cc-b7d0-4d1e-9319-22f6f31b2b78,0,False,True,https://indianpadeltour.in/tournaments/ipt-indore-city-open-1-0
ipt-kochi-city-open-2-0,City Open Kochi 2.0,City Open,Completed,2026-09-11,2026-09-13,11 Sept - 13 Sept,"Kochi, IND",Space# Padel & Pickleball,200000,Groups + Knockout,2,BullPadel Next,Realturf,a62de462-5aff-406b-ad0e-74666a9d9b8d,6,True,True,https://indianpadeltour.in/tournaments/ipt-kochi-city-open-2-0
ipt-mumbai-city-open-6-0,City Open Mumbai  6.0,City Open,Coming Soon,2026-12-11,2026-12-13,11 Dec - 13 Dec,"Mumbai, IND",Venue TBA,200000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,428e9025-cfd8-4f6f-b763-b94428537f74,0,True,True,https://indianpadeltour.in/tournaments/ipt-mumbai-city-open-6-0
ipt-mumbai-grandslam-13-0,Grand Slam 13.0 Mumbai Edition,Grand Slam,Coming Soon,2027-01-08,2027-01-10,08 Jan - 10 Jan,"Mumbai, IND",Venue TBA,600000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,6bd73b01-1263-4a64-b10b-6636fc3b1ac4,0,False,True,https://indianpadeltour.in/tournaments/ipt-mumbai-grandslam-13-0
ipt-pune-city-open-1-0,City Open Pune,City Open,Coming Soon,2027-02-05,2027-02-07,05 Feb - 07 Feb,"Pune, IND",Venue TBA,200000,Round Robin + Knockout,TBA,Bullpadel Next,TBA,e950de1b-e916-4daa-9031-b29465254a28,0,False,True,https://indianpadeltour.in/tournaments/ipt-pune-city-open-1-0
mumbai-city-open-5-01,City Open Mumbai 5.0,City Open,Completed,2026-07-31,2026-08-02,31 Jul - 02 Aug,"Mumbai, IND",7Padel | WTC,200000,Groups + Knockout,3,Bullpadel Next,Mondo,5fdd3590-c0d4-4df5-bbd8-459d98f49cf7,7,True,True,https://indianpadeltour.in/tournaments/mumbai-city-open-5-01
