player_id,player,ranking_category,event,event_canonical,event_type,month,awarded_on,division,round,points,counts_for_ranking,partner,partner_source,wins,losses,prize,tournament_slug,scale,expires_rolling,expires_season,already_overdue_if_rolling
01641f10-7928-42b3-ae2d-6c62c67c9b7a,Viraj Bhargava,Men's,GOA CITY OPEN 1.0,GOA CITY OPEN 1.0,city_open,2026-01,2026-01-25,beginner,winner,30,True,,,,,,,2025-26 and earlier,2027-01-25,2027-07-01,False
0179cc16-9672-4799-952f-5170933feabc,Venctexa Burye,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,beginner,groups,0,True,Rudresh Shetye,draw_entry,1.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
0346bf27-30fb-409c-8bd4-bdbb1f7119cd,Yash Nagdev,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,intermediate,quarter_finalist,9,True,Vansh Bhagtani,draw_entry,2.0,1.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
03c0ac66-cca8-403b-956f-08fe4c08cebe,Pranay Merchant,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,groups,0,True,Piyush Bansal,draw_entry,1.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
042630ef-be7b-401e-9a56-2bdbd27b005b,Ronak Talati,Men's,INDIAN PADEL TOUR 8.0,INDIAN PADEL TOUR 8.0,grand_slam,2025-11,2025-11-30,beginner,quarter_finalist,15,True,,,,,,,2025-26 and earlier,2026-11-30,2027-07-01,False
042630ef-be7b-401e-9a56-2bdbd27b005b,Ronak Talati,Men's,INDIAN PADEL TOUR 9.0,INDIAN PADEL TOUR 9.0,grand_slam,2026-02,2026-02-15,beginner,finalist,30,True,,,,,,,2025-26 and earlier,2027-02-15,2027-07-01,False
042630ef-be7b-401e-9a56-2bdbd27b005b,Ronak Talati,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,intermediate,groups,0,True,Anshul Gosavi,draw_entry,0.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
062f6e2d-dd0e-47b8-a338-386ae1e7ddc2,Vishal Thomas,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,beginner,quarter_finalist,5,True,Terence Thomas,profile,2.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
06a4aeef-aaca-45ef-a83a-cb3c703c9789,Mihir Akolkar,Men's,INDIAN PADEL TOUR 8.0,INDIAN PADEL TOUR 8.0,grand_slam,2025-11,2025-11-30,intermediate,winner,100,True,,,,,,,2025-26 and earlier,2026-11-30,2027-07-01,False
06a4aeef-aaca-45ef-a83a-cb3c703c9789,Mihir Akolkar,Men's,MUMBAI CITY OPEN 4.0,MUMBAI CITY OPEN 4.0,city_open,2026-01,2026-01-11,intermediate,semi_finalist,24,True,,,,,,,2025-26 and earlier,2027-01-11,2027-07-01,False
06a4aeef-aaca-45ef-a83a-cb3c703c9789,Mihir Akolkar,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,advance,groups,0,True,Saish Shelkar,draw_entry,1.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
06a4aeef-aaca-45ef-a83a-cb3c703c9789,Mihir Akolkar,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,quarter_finalist,108,True,Saish Shelar,draw_entry,2.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
06a4aeef-aaca-45ef-a83a-cb3c703c9789,Mihir Akolkar,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,advance,quarter_finalist,54,True,Saish Shelar,profile,2.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
08c756f4-9b1a-41af-96b5-b7041d812156,Ikrab Ghai,Men's,INDIAN PADEL TOUR 10.0,INDIAN PADEL TOUR 10.0,grand_slam,2026-04,2026-04-26,intermediate,quarter_finalist,30,True,,,,,,,2025-26 and earlier,2027-04-26,2027-07-01,False
09ce181d-c08d-4189-ab36-4d4a706f1bcb,Karan Medappa,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,groups,0,True,Shane Biddaiah,draw_entry,0.0,3.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
09ce181d-c08d-4189-ab36-4d4a706f1bcb,Karan Medappa,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,advance,quarter_finalist,54,True,Shane Biddaiah,profile,1.0,3.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
0a0db4ab-db0a-4dd7-a8d3-7a40715b83bd,Advaith Anoop,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,beginner,quarter_finalist,5,True,Burhan Contractor,draw_entry,3.0,1.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
0e3ade05-7d67-414c-8e20-c2bbae3a5778,Azim Yasir,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,intermediate,r16,5,True,Mohammed Farhan,profile,1.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
0fd115b3-0fce-4f9b-93c9-13e6c268e5cb,Madhav Bajaj,Men's,INDIAN PADEL TOUR 10.0,INDIAN PADEL TOUR 10.0,grand_slam,2026-04,2026-04-26,beginner,winner,50,True,,,,,,,2025-26 and earlier,2027-04-26,2027-07-01,False
10a7cfb7-155c-48d3-b2a2-8c2bde421e4e,Udhay Mahajan,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,beginner,semi_finalist,18,True,Mayank Oberoi,draw_entry,4.0,1.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,Men's,MUMBAI CITY OPEN 3.0,MUMBAI CITY OPEN 3.0,city_open,2025-09,2025-09-28,beginner,winner,30,True,,,,,,,2025-26 and earlier,2026-09-28,2027-07-01,False
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,Men's,MUMBAI CITY OPEN 4.0,MUMBAI CITY OPEN 4.0,city_open,2026-01,2026-01-11,intermediate,quarter_finalist,18,True,,,,,,,2025-26 and earlier,2027-01-11,2027-07-01,False
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,Men's,GOA CITY OPEN 1.0,GOA CITY OPEN 1.0,city_open,2026-01,2026-01-25,intermediate,finalist,36,True,,,,,,,2025-26 and earlier,2027-01-25,2027-07-01,False
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,Men's,INDIAN PADEL TOUR 9.0,INDIAN PADEL TOUR 9.0,grand_slam,2026-02,2026-02-15,advance,r16,120,True,,,,,,,2025-26 and earlier,2027-02-15,2027-07-01,False
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,advance,groups,0,True,Bhagya Popat,draw_entry,0.0,3.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,groups,0,True,Bhagya Popat,draw_entry,0.0,3.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,advance,groups,0,True,Kabir Anand,profile,0.0,3.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
15061bb7-8b57-4367-b302-35d512b70b74,Mayank Daga,Men's,INDIAN PADEL TOUR 7.0,INDIAN PADEL TOUR 7.0,grand_slam,2025-08,2025-08-03,intermediate,r16,20,True,,,,,,,2025-26 and earlier,2026-08-03,2027-07-01,True
15061bb7-8b57-4367-b302-35d512b70b74,Mayank Daga,Men's,MUMBAI CITY OPEN 3.0,MUMBAI CITY OPEN 3.0,city_open,2025-09,2025-09-28,intermediate,finalist,36,True,,,,,,,2025-26 and earlier,2026-09-28,2027-07-01,False
15061bb7-8b57-4367-b302-35d512b70b74,Mayank Daga,Men's,INDIAN PADEL TOUR 8.0,INDIAN PADEL TOUR 8.0,grand_slam,2025-11,2025-11-30,intermediate,r16,20,True,,,,,,,2025-26 and earlier,2026-11-30,2027-07-01,False
15061bb7-8b57-4367-b302-35d512b70b74,Mayank Daga,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,intermediate,semi_finalist,36,True,Shikhar Kumar,draw_entry,4.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
16b8462e-31e2-4614-9a5f-57ee20aefb03,Burhan Contractor,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,beginner,quarter_finalist,5,True,Advaith Anoop,draw_entry,3.0,1.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
18098d77-da96-47f5-8a0d-23460d6bdca8,Devansh Somani,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,beginner,groups,0,True,Aahan Jhaveri,draw_entry,0.0,3.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
182f09bb-25ba-4086-99ca-a7f5a52303bf,Kaivalya Kalamse,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,advance,quarter_finalist,54,True,Swaraj D,draw_entry,2.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
182f09bb-25ba-4086-99ca-a7f5a52303bf,Kaivalya Kalamse,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,quarter_finalist,108,True,Swaraj Deshmukh,draw_entry,2.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
182f09bb-25ba-4086-99ca-a7f5a52303bf,Kaivalya Kalamse,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,advance,semi_finalist,108,True,Swaraj Deshmukh,profile,3.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
1cff5d3c-6fd1-4502-a3c5-2b918f107eda,Krishna Teja Ankam,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,groups,0,True,Gundlapalle Yaswanth Reddy,draw_entry,1.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
1dbeeee2-b41a-4bec-8948-8f661c573861,Mishal Mehta,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,intermediate,groups,0,True,Khushish Jain,draw_entry,0.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
1dfc79f8-119b-4349-a2f9-a6e7c425a8e9,Dirsha Kalliyath,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,intermediate,quarter_finalist,9,True,Mohamed Anzar,profile,3.0,1.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
1ef2542e-4b4d-481d-ad8f-dc4e9fde3982,Rahul Khanna,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,intermediate,quarter_finalist,18,True,Rahul Chandwani,draw_entry,3.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
1f8700c4-6a62-4646-95cd-9b2d456baf65,Viraj Dewan,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,intermediate,r16,5,True,Ayaan Mishra,profile,1.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
1fe46b92-d550-4c02-81f6-489cb553411b,Parth Bhatia,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,intermediate,groups,0,True,Suhail Kapur,draw_entry,0.0,3.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
213df946-7be9-4fcb-98c8-e0d6ba33789d,Ziaan Talab,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,groups,0,True,Madhu Samtani,draw_entry,1.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
222a0e4a-457f-42ef-bedc-cea1892b3280,Umesh Padwal,Men's,INDIAN PADEL TOUR 9.0,INDIAN PADEL TOUR 9.0,grand_slam,2026-02,2026-02-15,beginner,quarter_finalist,15,True,,,,,,,2025-26 and earlier,2027-02-15,2027-07-01,False
222a0e4a-457f-42ef-bedc-cea1892b3280,Umesh Padwal,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,beginner,groups,0,True,Sahil Sharma,draw_entry,0.0,3.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
229df8e2-1349-4ee0-a15a-e46df0dc770f,Lakshay Bharti,Men's,CHANDIGARH CITY OPEN,CHANDIGARH CITY OPEN,city_open,2025-11,2025-11-16,intermediate,finalist,36,True,,,,,,,2025-26 and earlier,2026-11-16,2027-07-01,False
22f71241-5bf4-4dc7-ba33-683a2ea0f75b,Sandip Sabharwal,Men's,INDIAN PADEL TOUR 9.0,INDIAN PADEL TOUR 9.0,grand_slam,2026-02,2026-02-15,beginner,quarter_finalist,15,True,,,,,,,2025-26 and earlier,2027-02-15,2027-07-01,False
22f71241-5bf4-4dc7-ba33-683a2ea0f75b,Sandip Sabharwal,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,beginner,quarter_finalist,5,True,Shaan Shah,draw_entry,3.0,1.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
25302fe3-7403-440f-bd2a-3d5be3a3f0a1,Chirag Gaikwad,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,beginner,winner,25,True,Harman Singh Tur,draw_entry,5.0,1.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
25361116-4f57-4024-b424-a8246e491c54,Shashank Mittal,Men's,INDIAN PADEL TOUR 9.0,INDIAN PADEL TOUR 9.0,grand_slam,2026-02,2026-02-15,advance,r16,120,True,,,,,,,2025-26 and earlier,2027-02-15,2027-07-01,False
25361116-4f57-4024-b424-a8246e491c54,Shashank Mittal,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,advance,groups,0,True,Tanay Gabhawala,draw_entry,1.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
26582647-4a0f-456e-86d7-98b5087f3875,Amit Krishnan,Men's,KOCHI CITY OPEN,KOCHI CITY OPEN,city_open,2025-09,2025-09-14,intermediate,semi_finalist,24,True,,,,,,,2025-26 and earlier,2026-09-14,2027-07-01,True
26582647-4a0f-456e-86d7-98b5087f3875,Amit Krishnan,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,intermediate,finalist,30,True,George Pottamkulam,profile,5.0,1.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
26603ce9-30f9-424b-91b6-14f9364429b6,Sharad Kanadje,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,intermediate,groups,0,True,Sidharth Gupta,draw_entry,1.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
26ba9e18-b56b-4e13-b403-bd9cce25671d,Sahil Sharma,Men's,INDIAN PADEL TOUR 9.0,INDIAN PADEL TOUR 9.0,grand_slam,2026-02,2026-02-15,beginner,quarter_finalist,15,True,,,,,,,2025-26 and earlier,2027-02-15,2027-07-01,False
26ba9e18-b56b-4e13-b403-bd9cce25671d,Sahil Sharma,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,beginner,groups,0,True,Umesh Padwal,draw_entry,0.0,3.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
27f580ae-22a7-4519-a7e9-f48e69c6eed0,Arjun Batra,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,beginner,groups,0,True,Jashan Singh Arora,draw_entry,1.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
2890603e-2ceb-476a-ac9d-a06c6c37dd8b,Afdhel Abdul Wahab,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,intermediate,groups,0,True,Salman Shaji,profile,0.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
2891f3ff-442b-4b5b-b58c-cd458df7ea72,Kaushik Gummuluru,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,intermediate,groups,0,True,Sai Ram Goud,profile,0.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
297053cf-9f92-4115-a09d-1a55c66b6433,Yash Maliwal,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,intermediate,groups,0,True,Yashvardhan Sarda,draw_entry,0.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
2973535a-1a87-4eb9-85af-f8d5c2f523c2,Aryaman Jajodia,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,advance,groups,0,True,Ankit Agarwal,draw_entry,0.0,3.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
29ce2928-dce1-42de-9eb6-43363196ee5f,Rajkanwar Bhangoo,Men's,INDIAN PADEL TOUR 10.0,INDIAN PADEL TOUR 10.0,grand_slam,2026-04,2026-04-26,intermediate,semi_finalist,40,True,,,,,,,2025-26 and earlier,2027-04-26,2027-07-01,False
29e75609-025c-485b-a40a-969d2ce6e6bc,Paramveer Singh Bajwa,Men's,CHANDIGARH CITY OPEN,CHANDIGARH CITY OPEN,city_open,2025-11,2025-11-16,advance,winner,400,True,,,,,,,2025-26 and earlier,2026-11-16,2027-07-01,False
29e75609-025c-485b-a40a-969d2ce6e6bc,Paramveer Singh Bajwa,Men's,INDIAN PADEL TOUR 10.0,INDIAN PADEL TOUR 10.0,grand_slam,2026-04,2026-04-26,advance,finalist,360,True,,,,,,,2025-26 and earlier,2027-04-26,2027-07-01,False
