event_type,division,round,2025-26 and earlier,2026-27,change_pct
city_open,advance,finalist,240.0,180.0,-25.0
city_open,advance,groups,,0.0,
city_open,advance,quarter_finalist,120.0,54.0,-55.00000000000001
city_open,advance,semi_finalist,160.0,108.0,-32.49999999999999
city_open,advance,winner,400.0,300.0,-25.0
city_open,beginner,finalist,18.0,15.0,-16.666666666666664
city_open,beginner,groups,,0.0,
city_open,beginner,quarter_finalist,9.0,5.0,-44.44444444444444
city_open,beginner,r16,6.0,,
city_open,beginner,semi_finalist,12.0,9.0,-25.0
city_open,beginner,winner,30.0,25.0,-16.666666666666664
city_open,intermediate,finalist,36.0,30.0,-16.666666666666664
city_open,intermediate,groups,,0.0,
city_open,intermediate,quarter_finalist,18.0,9.0,-50.0
city_open,intermediate,r16,12.0,5.0,-58.33333333333333
city_open,intermediate,semi_finalist,24.0,18.0,-25.0
city_open,intermediate,winner,60.0,50.0,-16.666666666666664
city_open,open,finalist,,180.0,
city_open,open,groups,,0.0,
city_open,open,semi_finalist,,108.0,
city_open,open,winner,,300.0,
grand_slam,advance,finalist,360.0,360.0,0.0
grand_slam,advance,groups,,0.0,
grand_slam,advance,quarter_finalist,180.0,108.0,-40.0
grand_slam,advance,r16,120.0,,
grand_slam,advance,semi_finalist,240.0,216.0,-9.999999999999998
grand_slam,advance,winner,600.0,600.0,0.0
grand_slam,beginner,finalist,30.0,30.0,0.0
grand_slam,beginner,groups,,0.0,
grand_slam,beginner,quarter_finalist,15.0,9.0,-40.0
grand_slam,beginner,semi_finalist,20.0,18.0,-9.999999999999998
grand_slam,beginner,winner,50.0,50.0,0.0
grand_slam,intermediate,finalist,60.0,60.0,0.0
grand_slam,intermediate,groups,,0.0,
grand_slam,intermediate,quarter_finalist,30.0,18.0,-40.0
grand_slam,intermediate,r16,20.0,9.0,-55.00000000000001
grand_slam,intermediate,semi_finalist,40.0,36.0,-9.999999999999998
grand_slam,intermediate,winner,100.0,100.0,0.0
grand_slam,open,finalist,,360.0,
grand_slam,open,groups,,0.0,
grand_slam,open,semi_finalist,,216.0,
grand_slam,open,winner,,600.0,
