scale,event_type,division,round,points,consistent,rows
2025-26 and earlier,city_open,advance,winner,400,1.0,22
2025-26 and earlier,city_open,advance,finalist,240,1.0,22
2025-26 and earlier,city_open,advance,semi_finalist,160,1.0,40
2025-26 and earlier,city_open,advance,quarter_finalist,120,1.0,34
2025-26 and earlier,city_open,beginner,winner,30,1.0,22
2025-26 and earlier,city_open,beginner,finalist,18,1.0,22
2025-26 and earlier,city_open,beginner,semi_finalist,12,1.0,44
2025-26 and earlier,city_open,beginner,quarter_finalist,9,1.0,63
2025-26 and earlier,city_open,beginner,r16,6,1.0,32
2025-26 and earlier,city_open,intermediate,winner,60,1.0,24
2025-26 and earlier,city_open,intermediate,finalist,36,1.0,24
2025-26 and earlier,city_open,intermediate,semi_finalist,24,1.0,48
2025-26 and earlier,city_open,intermediate,quarter_finalist,18,0.984375,64
2025-26 and earlier,city_open,intermediate,r16,12,0.9696969696969697,33
2025-26 and earlier,grand_slam,advance,winner,600,1.0,32
2025-26 and earlier,grand_slam,advance,finalist,360,1.0,32
2025-26 and earlier,grand_slam,advance,semi_finalist,240,1.0,56
2025-26 and earlier,grand_slam,advance,quarter_finalist,180,1.0,72
2025-26 and earlier,grand_slam,advance,r16,120,1.0,96
2025-26 and earlier,grand_slam,beginner,winner,50,1.0,10
2025-26 and earlier,grand_slam,beginner,finalist,30,1.0,10
2025-26 and earlier,grand_slam,beginner,semi_finalist,20,1.0,16
2025-26 and earlier,grand_slam,beginner,quarter_finalist,15,1.0,24
2025-26 and earlier,grand_slam,intermediate,winner,100,1.0,22
2025-26 and earlier,grand_slam,intermediate,finalist,60,1.0,22
2025-26 and earlier,grand_slam,intermediate,semi_finalist,40,1.0,34
2025-26 and earlier,grand_slam,intermediate,quarter_finalist,30,1.0,56
2025-26 and earlier,grand_slam,intermediate,r16,20,1.0,96
2026-27,city_open,advance,winner,300,1.0,6
2026-27,city_open,advance,finalist,180,1.0,6
2026-27,city_open,advance,semi_finalist,108,1.0,12
2026-27,city_open,advance,quarter_finalist,54,1.0,16
2026-27,city_open,advance,groups,0,1.0,28
2026-27,city_open,beginner,winner,25,1.0,8
2026-27,city_open,beginner,finalist,15,1.0,8
2026-27,city_open,beginner,semi_finalist,9,1.0,12
2026-27,city_open,beginner,quarter_finalist,5,1.0,16
2026-27,city_open,beginner,groups,0,1.0,44
2026-27,city_open,intermediate,winner,50,1.0,8
2026-27,city_open,intermediate,finalist,30,1.0,8
2026-27,city_open,intermediate,semi_finalist,18,1.0,12
2026-27,city_open,intermediate,quarter_finalist,9,1.0,16
2026-27,city_open,intermediate,r16,5,1.0,16
2026-27,city_open,intermediate,groups,0,1.0,66
2026-27,city_open,open,winner,300,1.0,4
2026-27,city_open,open,finalist,180,1.0,4
2026-27,city_open,open,semi_finalist,108,1.0,4
2026-27,city_open,open,groups,0,1.0,20
2026-27,grand_slam,advance,winner,600,1.0,4
2026-27,grand_slam,advance,finalist,360,1.0,4
2026-27,grand_slam,advance,semi_finalist,216,1.0,8
2026-27,grand_slam,advance,quarter_finalist,108,1.0,8
2026-27,grand_slam,advance,groups,0,1.0,24
2026-27,grand_slam,beginner,winner,50,1.0,4
2026-27,grand_slam,beginner,finalist,30,1.0,4
2026-27,grand_slam,beginner,semi_finalist,18,1.0,8
2026-27,grand_slam,beginner,quarter_finalist,9,1.0,8
2026-27,grand_slam,beginner,groups,0,1.0,18
2026-27,grand_slam,intermediate,winner,100,1.0,4
2026-27,grand_slam,intermediate,finalist,60,1.0,4
2026-27,grand_slam,intermediate,semi_finalist,36,1.0,4
2026-27,grand_slam,intermediate,quarter_finalist,18,1.0,8
2026-27,grand_slam,intermediate,r16,9,1.0,16
2026-27,grand_slam,intermediate,groups,0,1.0,20
2026-27,grand_slam,open,winner,600,1.0,2
2026-27,grand_slam,open,finalist,360,1.0,2
2026-27,grand_slam,open,semi_finalist,216,1.0,4
2026-27,grand_slam,open,groups,0,1.0,10
