category,player_id,name,points | today,rank | today,points | today_if_rolling,rank | today_if_rolling,points | 31 Dec 2026,rank | 31 Dec 2026,points | 30 Jun 2027,rank | 30 Jun 2027,points | 1 Jul 2027 (season reset),rank | 1 Jul 2027 (season reset)
Men's,9db40aca-2be2-4bdd-b807-02ad8bb8bf77,Aditya Jagtap,4168,1,3688,1,3168,1,888,1,888,1
Men's,a57ef4ab-a62e-4b71-a4d2-0f267dea2626,Samar Malhotra,3660,2,3480,2,2480,2,840,2,840,2
Men's,5b3d8985-ba2b-4840-96cb-df23c6bd1347,Krishiv Patel,2460,3,2340,3,1820,4,780,3,780,3
Men's,5854e023-8f2c-4811-82ed-0e54efaf63ec,Rahul Motwani,2430,4,2070,4,1430,5,270,8,270,8
Men's,46d8e856-a32f-4060-bf62-6b24fb9e6a8d,Aryan Goveas,2354,5,1994,5,1354,6,354,6,354,6
Men's,531b4b75-e3cf-439f-a0fb-5e83867deff8,Aryan Hemdev,1868,6,1868,6,1868,3,468,5,468,5
Men's,5efe3810-7452-45ba-9911-ef58eb490a3f,Chaitanya Shah,1468,7,1468,7,1068,7,108,19,108,19
Men's,29e75609-025c-485b-a40a-969d2ce6e6bc,Paramveer Singh Bajwa,1276,8,1276,8,876,9,516,4,516,4
Men's,e9aef618-db1c-42e9-a0ed-c3050a376e4f,Manav Sreekumar,1220,9,820,13,460,12,0,152,0,152
Men's,ranked-vikram-shah,Vikram Shah,1160,10,1160,9,400,18,0,152,0,152
Men's,ranked-arjun-kochhar,Arjun Kochhar,1060,11,1060,10,820,10,0,152,0,152
Men's,3f2fcf21-952f-4b68-9b43-539d6b1ade27,Navin Shewakramani,1020,12,780,14,600,11,0,152,0,152
Men's,bf973053-492f-4dca-a909-7310fa8693f9,Parikshit Somani,1020,12,1020,11,900,8,300,7,300,7
Men's,ranked-adil-kalyanpur,Adil Kalyanpur,1020,12,420,22,420,14,0,152,0,152
Men's,ranked-rishi-reddy,Rishi Reddy,1020,12,420,22,420,14,0,152,0,152
Men's,ranked-aneesh-sanghai,Aneesh Sanghai,1000,16,880,12,460,12,0,152,0,152
Men's,a9d1cebf-249f-4801-ac1c-dc757ebd99a3,Arjun Kapoor,880,17,760,15,300,24,0,152,0,152
Men's,433ad480-92da-44d3-b432-953719fa8ea3,Taran Mundkar,780,18,600,18,300,24,180,15,180,15
Men's,ranked-shashank-narde,Shashank Narde,760,19,360,25,120,49,0,152,0,152
Men's,83c9faf7-5bd4-4e29-84c2-c2d809c9235b,Samin Bhargava,700,20,700,16,180,36,0,152,0,152
Men's,ranked-purav-raja,Purav Raja,700,20,700,16,340,21,0,152,0,152
Women's,a8725d43-8928-4958-ace6-183c3a63c538,Steisha Buddhala,2920,1,2560,1,1960,1,600,3,600,3
Women's,c02126c6-4418-4f24-8895-867c3e3c89c2,Amy Bundhel,2920,1,2560,1,1960,1,600,3,600,3
Women's,1c91795e-92c5-444b-aa99-d1e70e063c55,Vaibhavi Deshmukh,2668,3,2068,3,1068,5,216,5,216,5
Women's,ranked-jenai-bilimoria,Jenai Bilimoria,2452,4,1852,4,852,6,0,51,0,51
Women's,e190ca21-bb25-46b3-965e-bcb2ffcc3fd3,Tulsi Mehta,1420,5,1180,5,1180,3,660,1,660,1
Women's,d7b11e8a-e252-4721-9b62-227fb11e43c2,Shraddha Damani,1180,6,1180,5,1180,3,660,1,660,1
Women's,261c3899-f32d-4861-a046-8b36ccf6123a,Tishya Sagar,516,7,276,12,276,10,0,51,0,51
Women's,ea8745f7-50a3-4a17-ae4e-5d13d042ceb4,Anisha Mirchandani,516,7,516,7,480,7,180,9,180,9
Women's,a8f6711d-8415-49af-afc4-f8f9a3913a3e,Estelle Mehta,480,9,480,8,480,7,180,9,180,9
Women's,ranked-aarti-pandit,Aarti Pandit,400,10,400,9,240,14,0,51,0,51
Women's,ranked-priyanka-boghani,Priyanka Boghani,364,11,364,10,264,13,0,51,0,51
Women's,ranked-diya-sanghi,Diya Sanghi,296,12,296,11,296,9,0,51,0,51
Women's,7a0a5946-601b-4919-858d-8e3667bd4f77,Treta Bhattacharyya,276,13,276,12,276,10,216,5,216,5
Women's,ba0bebb9-bb83-4bfc-9c39-a96387beae44,Sonashe Bhatnagar,276,13,276,12,276,10,216,5,216,5
Women's,ranked-radhika-kanitkar,Radhika Kanitkar,240,15,0,113,0,110,0,51,0,51
Women's,ranked-radha-sadhra,Radha Sadhra,240,15,240,15,240,14,0,51,0,51
Women's,124f1292-f3a9-4139-bd9d-f9fa8e1dd983,Radhika Vasudeva,240,15,240,15,240,14,0,51,0,51
Women's,ranked-shanaya-naik,Shanaya Naik,240,15,240,15,240,14,0,51,0,51
Women's,ranked-yasmin-latiff,Yasmin Latiff,240,15,0,113,0,110,0,51,0,51
Women's,f5dad384-ffe0-451a-8d85-b6deaa46885b,Pia Kothari,232,20,232,18,208,19,108,11,108,11
Men's 40+,2c982f04-1a03-4d77-9359-5b44f4e5aed2,Vijay Chhabria,2380,1,2380,1,1780,1,780,1,780,1
