split,train_matches,model,matches,log_loss,brier,accuracy
A: test Goa GS 11.0,139,coin flip,176,0.6931471805599453,0.25,0.5
A: test Goa GS 11.0,139,points only,176,0.5652991419509918,0.19711311516649552,0.6818181818181818
A: test Goa GS 11.0,139,results only,176,0.6594333900178081,0.23356453171982744,0.5909090909090909
A: test Goa GS 11.0,139,points + results,176,0.5571113223927616,0.1943140838871025,0.6875
B: test Kochi CO 2.0,315,coin flip,101,0.6931471805599454,0.25,0.5
B: test Kochi CO 2.0,315,points only,101,0.5699431771671748,0.19523309222356397,0.6881188118811881
B: test Kochi CO 2.0,315,results only,101,0.636548729279679,0.2248112167889246,0.6089108910891089
B: test Kochi CO 2.0,315,points + results,101,0.5489532611475839,0.1875323954937274,0.7029702970297029
Extra: Chandigarh matches played before the freeze,416,coin flip,33,0.6931471805599453,0.25,0.5
Extra: Chandigarh matches played before the freeze,416,points only,33,0.6594993585774507,0.23516756926865934,0.5606060606060606
Extra: Chandigarh matches played before the freeze,416,results only,33,0.6704141281671434,0.23868267183547429,0.6212121212121212
Extra: Chandigarh matches played before the freeze,416,points + results,33,0.6478585531636118,0.2305639822318032,0.5909090909090909
