lam,model,matches,log_loss,brier,accuracy
0.5,results only,176,0.7541326703438915,0.2537673858127683,0.5909090909090909
0.5,points + results,176,0.6632683251147333,0.21931555377132003,0.6534090909090909
1.0,results only,176,0.7175901974033286,0.24721700540914104,0.5909090909090909
1.0,points + results,176,0.6353528708825303,0.21386822271263037,0.6477272727272727
2.0,results only,176,0.6842692151956385,0.24006433562541066,0.5909090909090909
2.0,points + results,176,0.6080631368189974,0.20789957283535906,0.6477272727272727
4.0,results only,176,0.6598239441830076,0.23349599990290468,0.5795454545454546
4.0,points + results,176,0.5844003084051815,0.20212858107664725,0.6534090909090909
8.0,results only,176,0.6480921300449622,0.22926095792274107,0.5852272727272727
8.0,points + results,176,0.567273531619254,0.19742534594724592,0.6704545454545454
16.0,results only,176,0.6494770854498085,0.22935453373168044,0.5795454545454546
16.0,points + results,176,0.5586082878543224,0.19479107181420433,0.6875
32.0,results only,176,0.6594333900178081,0.23356453171982744,0.5909090909090909
32.0,points + results,176,0.5571113223927616,0.1943140838871025,0.6875
64.0,results only,176,0.6711560308173051,0.23910304648629738,0.5965909090909091
64.0,points + results,176,0.5590434619813144,0.1949708741747701,0.6818181818181818
128.0,results only,176,0.6803538104842946,0.24362089233860307,0.5965909090909091
128.0,points + results,176,0.5614124829472584,0.19577960013191167,0.6818181818181818
256.0,results only,176,0.6862056784237791,0.24653190834672528,0.5965909090909091
256.0,points + results,176,0.5631283339649585,0.196367458139186,0.6818181818181818
