division,team,group,team_points,strength,p_1st_in_group,p_top2_in_group,reached_QF,reached_SF,reached_final,p_title,p_pos_1,p_pos_2,p_pos_3,p_pos_4,reached_R16,p_pos_5
Men's Advance,Aditya Jagtap / Rahul Motwani,GROUP A,6598.0,1.599,0.89875,0.99555,0.99555,0.95065,0.8743,0.57115,0.89875,0.0968,0.00445,0.0,,
Men's Advance,Samar Malhotra / Paramveer Singh Bajwa,GROUP B,4936.0,1.508,0.81335,0.9832,0.9832,0.91965,0.7741,0.3652,0.81335,0.16985,0.0168,0.0,,
Men's Advance,Arjun Kapoor / Rohit Dhiman,GROUP C,1240.0,1.078,0.8482,0.99425,0.99425,0.46165,0.11165,0.02055,0.8482,0.14605,0.0054,0.00035,,
Men's Advance,Adit Patel / Abhishek Gupta,GROUP B,682.0,1.076,0.1684,0.802,0.802,0.49005,0.1052,0.0197,0.1684,0.6336,0.1928,0.0052,,
Men's Advance,Samin Bhargava / Yuvraj Singh Kooka,GROUP D,860.0,0.99,0.7299,0.9584,0.9584,0.41495,0.0615,0.01175,0.7299,0.2285,0.0396,0.002,,
Men's Advance,Jasmer Kapany / Rohan Jain,GROUP A,856.0,0.98,0.0944,0.81295,0.81295,0.47665,0.05345,0.0107,0.0944,0.71855,0.1799,0.00715,,
Men's Advance,Pranav Chopra / Raghuraj Dewan,GROUP D,178.0,0.683,0.23335,0.77905,0.77905,0.102,0.009,0.00045,0.23335,0.5457,0.19325,0.0277,,
Men's Advance,Ashish Khemlani / Siddharth Nandal,GROUP B,240.0,0.689,0.01825,0.21285,0.21285,0.06335,0.00465,0.00025,0.01825,0.1946,0.71815,0.069,,
Men's Advance,Swaraj Deshmukh / Krishna Teja,GROUP C,570.0,0.585,0.1468,0.84925,0.84925,0.06435,0.0044,0.0002,0.1468,0.70245,0.1245,0.02625,,
Men's Advance,Raaghav Sharma Bagga / Atul Sharma,GROUP A,50.0,0.572,0.00685,0.18575,0.18575,0.048,0.00155,5e-05,0.00685,0.1789,0.7052,0.10905,,
Men's Advance,Advait Bahl / Kabir Anand,GROUP D,213.0,0.346,0.03465,0.2317,0.2317,0.00745,0.0002,0.0,0.03465,0.19705,0.5599,0.2084,,
Men's Advance,Ankit Grover / Gaurav Gupta,GROUP A,0.0,0.0,0.0,0.00575,0.00575,0.00025,0.0,0.0,0.0,0.00575,0.11045,0.8838,,
Men's Advance,Bhavuk Dua / Jeetpal Singh Chauhan,GROUP D,0.0,0.0,0.0021,0.03085,0.03085,5e-05,0.0,0.0,0.0021,0.02875,0.20725,0.7619,,
Men's Advance,Gautam Daluja / Darshan Dilbar Singh,GROUP C,0.0,0.0,0.00215,0.0756,0.0756,0.0003,0.0,0.0,0.00215,0.07345,0.41675,0.50765,,
Men's Advance,Ishaan Mehta / Chiraz Singh,GROUP B,0.0,0.0,0.0,0.00195,0.00195,0.0,0.0,0.0,0.0,0.00195,0.07225,0.9258,,
Men's Advance,Tushar Jagota / Aryan Manchanda,GROUP C,0.0,0.018,0.00285,0.0809,0.0809,0.00065,0.0,0.0,0.00285,0.07805,0.45335,0.46575,,
Men's Intermediate,Pruthvi Patel / Harshil Sheth,GROUP B,168.0,0.678,0.76295,0.9521,0.678,0.44975,0.2925,0.1718,0.76295,0.18915,0.0406,0.0073,0.9521,
